,Date,gain,total_gain
1320,2021-03-22,8.299999999999955,8.299999999999955
1321,2021-03-23,-7.7999999999999545,0.5
1322,2021-03-24,-12.799999999999955,-12.299999999999955
1323,2021-03-25,0.3999999999998636,-11.900000000000091
1324,2021-03-26,9.799999999999955,-2.1000000000001364
1327,2021-03-29,9.299999999999955,7.199999999999818
1328,2021-03-30,-10.799999999999955,-3.6000000000001364
1329,2021-03-31,0.20000000000004547,-3.400000000000091
1330,2021-04-01,40.700000000000045,37.299999999999955
1331,2021-04-02,-1.400000000000091,35.899999999999864
1334,2021-04-05,9.699999999999818,45.59999999999968
1335,2021-04-06,-5.0,40.59999999999968
1336,2021-04-07,-0.10000000000013642,40.499999999999545
1337,2021-04-08,8.799999999999955,49.2999999999995
1338,2021-04-09,7.7000000000000455,56.999999999999545
1341,2021-04-12,-8.500000000000227,48.49999999999932
1342,2021-04-13,-3.800000000000182,44.699999999999136
1343,2021-04-14,19.600000000000136,64.29999999999927
1344,2021-04-15,1.7000000000000455,65.99999999999932
1345,2021-04-16,-6.699999999999818,59.2999999999995
1348,2021-04-19,-36.80000000000018,22.499999999999318
1349,2021-04-20,-11.700000000000045,10.799999999999272
1350,2021-04-21,0.0,10.799999999999272
1351,2021-04-22,-36.399999999999864,-25.60000000000059
1352,2021-04-23,33.299999999999955,7.699999999999363
1355,2021-04-26,33.90000000000009,41.599999999999454
1356,2021-04-27,9.700000000000045,51.2999999999995
1357,2021-04-28,9.399999999999864,60.69999999999936
1358,2021-04-29,24.40000000000009,85.09999999999945
1359,2021-04-30,0.0,85.09999999999945
1362,2021-05-03,0.0,85.09999999999945
1363,2021-05-04,17.799999999999955,102.89999999999941
1364,2021-05-05,14.900000000000091,117.7999999999995
1365,2021-05-06,0.599999999999909,118.39999999999941
1366,2021-05-07,5.200000000000273,123.59999999999968
1369,2021-05-10,47.40000000000009,170.99999999999977
1370,2021-05-11,3.9999999999997726,174.99999999999955
1371,2021-05-12,29.5,204.49999999999955
1372,2021-05-13,-17.100000000000136,187.3999999999994
1373,2021-05-14,9.5,196.8999999999994
1376,2021-05-17,17.90000000000009,214.7999999999995
1377,2021-05-18,7.0,221.7999999999995
1378,2021-05-19,28.0,249.7999999999995
1379,2021-05-20,-14.0,235.7999999999995
1380,2021-05-21,4.7999999999999545,240.59999999999945
1383,2021-05-24,11.399999999999864,251.99999999999932
1384,2021-05-25,11.400000000000091,263.3999999999994
1385,2021-05-26,14.099999999999909,277.4999999999993
1386,2021-05-27,-21.799999999999955,255.69999999999936
1387,2021-05-28,-15.400000000000091,240.29999999999927
1390,2021-05-31,-50.30000000000018,189.9999999999991
1391,2021-06-01,7.2000000000000455,197.19999999999914
1392,2021-06-02,-5.5,191.69999999999914
1393,2021-06-03,-9.5,182.19999999999914
1394,2021-06-04,1.400000000000091,183.59999999999923
1397,2021-06-07,7.799999999999727,191.39999999999895
1398,2021-06-08,-52.799999999999955,138.599999999999
1399,2021-06-09,-6.900000000000091,131.6999999999989
1400,2021-06-10,-6.2000000000000455,125.49999999999886
1401,2021-06-11,38.200000000000045,163.6999999999989
1404,2021-06-14,2.2000000000000455,165.89999999999895
1405,2021-06-15,-0.9000000000003183,164.99999999999864
1406,2021-06-16,7.7999999999999545,172.7999999999986
1407,2021-06-17,-5.2000000000000455,167.59999999999854
1408,2021-06-18,17.0,184.59999999999854
1411,2021-06-21,-10.299999999999955,174.2999999999986
1412,2021-06-22,15.5,189.7999999999986
1413,2021-06-23,0.0,189.7999999999986
1414,2021-06-24,12.200000000000045,201.99999999999864
1415,2021-06-25,-15.800000000000182,186.19999999999845
1418,2021-06-28,17.299999999999955,203.4999999999984
1419,2021-06-29,9.599999999999909,213.09999999999832
1420,2021-06-30,-4.399999999999864,208.69999999999845
1421,2021-07-01,-20.800000000000182,187.89999999999827
1422,2021-07-02,6.2000000000000455,194.09999999999832
1425,2021-07-05,-8.799999999999955,185.29999999999836
1426,2021-07-06,61.799999999999955,247.09999999999832
1427,2021-07-07,-13.899999999999864,233.19999999999845
1428,2021-07-08,-21.40000000000009,211.79999999999836
1429,2021-07-09,-15.199999999999818,196.59999999999854
1432,2021-07-12,-1.5,195.09999999999854
1433,2021-07-13,-1.400000000000091,193.69999999999845
1434,2021-07-14,29.800000000000182,223.49999999999864
1435,2021-07-15,21.100000000000136,244.59999999999877
1436,2021-07-16,2.8999999999998636,247.49999999999864
1439,2021-07-19,-5.7999999999999545,241.69999999999868
1440,2021-07-20,34.299999999999955,275.99999999999864
1441,2021-07-21,-2.7999999999999545,273.1999999999987
1442,2021-07-22,23.700000000000045,296.8999999999987
1443,2021-07-23,13.100000000000136,309.99999999999886
1446,2021-07-26,6.2000000000000455,316.1999999999989
1447,2021-07-27,-2.7000000000000455,313.49999999999886
1448,2021-07-28,2.400000000000091,315.89999999999895
1449,2021-07-29,21.899999999999864,337.7999999999988
1450,2021-07-30,13.100000000000136,350.89999999999895
1453,2021-08-02,2.7999999999999545,353.6999999999989
1454,2021-08-03,25.5,379.1999999999989
1455,2021-08-04,1.599999999999909,380.7999999999988
1456,2021-08-05,14.800000000000182,395.599999999999
1457,2021-08-06,10.199999999999818,405.7999999999988
1460,2021-08-09,25.40000000000009,431.1999999999989
1461,2021-08-10,7.300000000000182,438.4999999999991
