,Date,gain,total_gain
0,2021-03-25,4.599999999999909,4.599999999999909
1,2021-03-26,0.0,4.599999999999909
4,2021-03-29,19.399999999999864,23.999999999999773
5,2021-03-30,-10.200000000000045,13.799999999999727
6,2021-03-31,0.6999999999998181,14.499999999999545
7,2021-04-01,40.200000000000045,54.69999999999959
8,2021-04-02,-1.3999999999998636,53.29999999999973
11,2021-04-05,21.299999999999955,74.59999999999968
12,2021-04-06,-4.5,70.09999999999968
13,2021-04-07,-0.10000000000013642,69.99999999999955
14,2021-04-08,9.199999999999818,79.19999999999936
15,2021-04-09,8.099999999999909,87.29999999999927
18,2021-04-12,-7.900000000000091,79.39999999999918
19,2021-04-13,-3.300000000000182,76.099999999999
20,2021-04-14,19.40000000000009,95.49999999999909
21,2021-04-15,2.300000000000182,97.79999999999927
22,2021-04-16,-6.2000000000000455,91.59999999999923
25,2021-04-19,-35.99999999999977,55.599999999999454
26,2021-04-20,-11.099999999999909,44.499999999999545
27,2021-04-21,0.0,44.499999999999545
28,2021-04-22,-36.0,8.499999999999545
29,2021-04-23,32.90000000000009,41.399999999999636
32,2021-04-26,33.899999999999636,75.29999999999927
33,2021-04-27,10.099999999999909,85.39999999999918
34,2021-04-28,9.299999999999955,94.69999999999914
35,2021-04-29,24.100000000000136,118.79999999999927
36,2021-04-30,0.0,118.79999999999927
39,2021-05-03,0.0,118.79999999999927
40,2021-05-04,17.5,136.29999999999927
41,2021-05-05,14.799999999999955,151.09999999999923
42,2021-05-06,0.599999999999909,151.69999999999914
43,2021-05-07,5.600000000000136,157.29999999999927
46,2021-05-10,47.40000000000009,204.69999999999936
47,2021-05-11,4.499999999999773,209.19999999999914
48,2021-05-12,29.600000000000136,238.79999999999927
49,2021-05-13,-16.800000000000182,221.9999999999991
50,2021-05-14,9.400000000000091,231.39999999999918
53,2021-05-17,18.09999999999991,249.4999999999991
54,2021-05-18,7.400000000000091,256.8999999999992
55,2021-05-19,27.699999999999818,284.599999999999
56,2021-05-20,-13.399999999999864,271.19999999999914
57,2021-05-21,5.2999999999999545,276.4999999999991
60,2021-05-24,11.200000000000045,287.69999999999914
61,2021-05-25,11.299999999999955,298.9999999999991
62,2021-05-26,14.0,312.9999999999991
63,2021-05-27,-21.59999999999991,291.3999999999992
64,2021-05-28,-14.700000000000273,276.6999999999989
67,2021-05-31,-48.80000000000018,227.89999999999873
68,2021-06-01,7.5,235.39999999999873
69,2021-06-02,-5.400000000000091,229.99999999999864
70,2021-06-03,-8.899999999999864,221.09999999999877
71,2021-06-04,1.8999999999998636,222.99999999999864
74,2021-06-07,8.200000000000273,231.1999999999989
75,2021-06-08,-51.700000000000045,179.49999999999886
76,2021-06-09,-6.499999999999773,172.9999999999991
77,2021-06-10,-5.599999999999909,167.39999999999918
